haystack,iana
Kaliningrad,Europe/Kaliningrad
Kamchatka,Asia/Kamchatka
Karachi,Asia/Karachi
Kathmandu,Asia/Kathmandu
Kerguelen,Indian/Kerguelen
Khandyga,Asia/Khandyga
Khartoum,Africa/Khartoum
Kiev,Europe/Kiev
Kiritimati,Pacific/Kiritimati
Kirov,Europe/Kirov
Knox,America/Knox_IN
Kolkata,Asia/Kolkata
Kosrae,Pacific/Kosrae
Krasnoyarsk,Asia/Krasnoyarsk
Kuala_Lumpur,Asia/Kuala_Lumpur
Kuching,Asia/Kuching
Kwajalein,Kwajalein
La_Paz,America/La_Paz
La_Rioja,America/Argentina/La_Rioja
Lagos,Africa/Lagos
Lima,America/Lima
Lindeman,Australia/Lindeman
Lisbon,Europe/Lisbon
London,Europe/London
Lord_Howe,Australia/Lord_Howe
Los_Angeles,America/Los_Angeles
Louisville,America/Louisville
Luxembourg,Europe/Luxembourg
Macau,Asia/Macau
Maceio,America/Maceio
Macquarie,Antarctica/Macquarie
Madeira,Atlantic/Madeira
Madrid,Europe/Madrid
Magadan,Asia/Magadan
Mahe,Indian/Mahe
Majuro,Pacific/Majuro
Makassar,Asia/Makassar
Maldives,Indian/Maldives
Malta,Europe/Malta
Managua,America/Managua
Manaus,America/Manaus
Manila,Asia/Manila
Maputo,Africa/Maputo
Marengo,America/Indiana/Marengo
Marquesas,Pacific/Marquesas
Martinique,America/Martinique
Matamoros,America/Matamoros
Mauritius,Indian/Mauritius
Mawson,Antarctica/Mawson
Mazatlan,America/Mazatlan
Melbourne,Australia/Melbourne
Mendoza,America/Mendoza
Menominee,America/Menominee
Merida,America/Merida
Metlakatla,America/Metlakatla
Mexico_City,America/Mexico_City
Minsk,Europe/Minsk
Miquelon,America/Miquelon
Monaco,Europe/Monaco
Moncton,America/Moncton
Monrovia,Africa/Monrovia
Monterrey,America/Monterrey
Montevideo,America/Montevideo
Monticello,America/Kentucky/Monticello
Moscow,Europe/Moscow
Nairobi,Africa/Nairobi
Nassau,America/Nassau
Nauru,Pacific/Nauru
Ndjamena,Africa/Ndjamena
New_Salem,America/North_Dakota/New_Salem
New_York,America/New_York
Nicosia,Europe/Nicosia
Nipigon,America/Nipigon
Niue,Pacific/Niue
Nome,America/Nome
Norfolk,Pacific/Norfolk
Noronha,America/Noronha
Noumea,Pacific/Noumea
Novokuznetsk,Asia/Novokuznetsk
Novosibirsk,Asia/Novosibirsk
Ojinaga,America/Ojinaga
Omsk,Asia/Omsk
Oral,Asia/Oral
Oslo,Europe/Oslo
Pago_Pago,Pacific/Pago_Pago
Palau,Pacific/Palau
Palmer,Antarctica/Palmer
Panama,America/Panama
Pangnirtung,America/Pangnirtung
Paramaribo,America/Paramaribo
Paris,Europe/Paris
Perth,Australia/Perth
Petersburg,America/Indiana/Petersburg
Phoenix,America/Phoenix
Pitcairn,Pacific/Pitcairn
Pohnpei,Pacific/Pohnpei
Pontianak,Asia/Pontianak
Port-au-Prince,America/Port-au-Prince
Port_Moresby,Pacific/Port_Moresby
Port_of_Spain,America/Port_of_Spain
Porto_Velho,America/Porto_Velho
Prague,Europe/Prague
Puerto_Rico,America/Puerto_Rico
Punta_Arenas,America/Punta_Arenas
Pyongyang,Asia/Pyongyang
Qatar,Asia/Qatar
Qostanay,Asia/Qostanay
Qyzylorda,Asia/Qyzylorda
Rainy_River,America/Rainy_River
Rankin_Inlet,America/Rankin_Inlet
Rarotonga,Pacific/Rarotonga
Recife,America/Recife
Regina,America/Regina
Regina,America/Regina
Resolute,America/Resolute
Reunion,Indian/Reunion
Reykjavik,Atlantic/Reykjavik
Riga,Europe/Riga
Rio_Branco,America/Rio_Branco
Rio_Gallegos,America/Argentina/Rio_Gallegos
Riyadh,Asia/Riyadh
Rome,Europe/Rome
Rothera,Antarctica/Rothera
Sakhalin,Asia/Sakhalin
Salta,America/Argentina/Salta
Samara,Europe/Samara
Samarkand,Asia/Samarkand
San_Juan,America/Argentina/San_Juan
San_Luis,America/Argentina/San_Luis
Santarem,America/Santarem
Santiago,America/Santiago
Santo_Domingo,America/Santo_Domingo
Sao_Paulo,America/Sao_Paulo
Sao_Tome,Africa/Sao_Tome
Saratov,Europe/Saratov
Scoresbysund,America/Scoresbysund
Seoul,Asia/Seoul
Shanghai,Asia/Shanghai
Simferopol,Europe/Simferopol
Singapore,Singapore
Sitka,America/Sitka
Sofia,Europe/Sofia
South_Georgia,Atlantic/South_Georgia
Srednekolymsk,Asia/Srednekolymsk
St_Johns,America/St_Johns
Stanley,Atlantic/Stanley
Stockholm,Europe/Stockholm
Swift_Current,America/Swift_Current
Sydney,Australia/Sydney
Syowa,Antarctica/Syowa
Tahiti,Pacific/Tahiti
Taipei,Asia/Taipei
Tallinn,Europe/Tallinn
Tarawa,Pacific/Tarawa
Tashkent,Asia/Tashkent
Tbilisi,Asia/Tbilisi
Tegucigalpa,America/Tegucigalpa
Tehran,Asia/Tehran
Tell_City,America/Indiana/Tell_City
Thimphu,Asia/Thimphu
Thule,America/Thule
Thunder_Bay,America/Thunder_Bay
Tijuana,America/Tijuana
Tirane,Europe/Tirane
Tokyo,Asia/Tokyo
Tomsk,Asia/Tomsk
Tongatapu,Pacific/Tongatapu
Toronto,America/Toronto
Tripoli,Africa/Tripoli
Troll,Antarctica/Troll
Tucuman,America/Argentina/Tucuman
Tunis,Africa/Tunis
UTC,UTC
Ulaanbaatar,Asia/Ulaanbaatar
Ulyanovsk,Europe/Ulyanovsk
Urumqi,Asia/Urumqi
Ushuaia,America/Argentina/Ushuaia
Ust-Nera,Asia/Ust-Nera
Uzhgorod,Europe/Uzhgorod
Vancouver,America/Vancouver
Vevay,America/Indiana/Vevay
Vienna,Europe/Vienna
Vilnius,Europe/Vilnius
Vincennes,America/Indiana/Vincennes
Vladivostok,Asia/Vladivostok
Volgograd,Europe/Volgograd
Vostok,Antarctica/Vostok
Wake,Pacific/Wake
Wallis,Pacific/Wallis
Warsaw,Europe/Warsaw
Whitehorse,America/Whitehorse
Winamac,America/Indiana/Winamac
Windhoek,Africa/Windhoek
Winnipeg,America/Winnipeg
Yakutat,America/Yakutat
Yakutsk,Asia/Yakutsk
Yangon,Asia/Yangon
Yekaterinburg,Asia/Yekaterinburg
Yellowknife,America/Yellowknife
Yerevan,Asia/Yerevan
Zaporozhye,Europe/Zaporozhye
Zurich,Europe/Zurich
